DISTNUM,district_name,Year
1,First Barnstable,1993
2,Second Barnstable,1993
3,Third Barnstable,1993
4,Fourth Barnstable,1993
6,"Barnstable, Dukes and Nantucket",1993
7,First Berkshire,1993
8,Second Berkshire,1993
9,Third Berkshire,1993
10,Fourth Berkshire,1993
11,First Bristol,1993
12,Second Bristol,1993
13,Third Bristol,1993
14,Fourth Bristol,1993
15,Fifth Bristol,1993
16,Sixth Bristol,1993
17,Seventh Bristol,1993
18,Eighth Bristol,1993
19,Ninth Bristol,1993
20,Tenth Bristol,1993
21,Eleventh Bristol,1993
22,Twelfth Bristol,1993
23,Thirteenth Bristol,1993
24,Fourteenth Bristol,1993
25,First Essex,1993
26,Second Essex,1993
27,Third Essex,1993
28,Fourth Essex,1993
29,Fifth Essex,1993
30,Sixth Essex,1993
31,Seventh Essex,1993
32,Eighth Essex,1993
33,Ninth Essex,1993
34,Tenth Essex,1993
35,Eleventh Essex,1993
36,Twelfth Essex,1993
37,Thirteenth Essex,1993
38,Fourteenth Essex,1993
39,Fifteenth Essex,1993
40,Sixteenth Essex,1993
41,Seventeenth Essex,1993
43,First Franklin,1993
44,Second Franklin,1993
45,First Hampden,1993
46,Second Hampden,1993
47,Third Hampden,1993
48,Fourth Hampden,1993
49,Fifth Hampden,1993
50,Sixth Hampden,1993
51,Seventh Hampden,1993
52,Eighth Hampden,1993
53,Ninth Hampden,1993
54,Tenth Hampden,1993
161,Eleventh Hampden,1993
55,Twelfth Hampden,1993
56,Thirteenth Hampden,1993
57,First Hampshire,1993
58,Second Hampshire,1993
59,Third Hampshire,1993
60,First Middlesex,1993
61,Second Middlesex,1993
62,Third Middlesex,1993
63,Fourth Middlesex,1993
64,Fifth Middlesex,1993
65,Sixth Middlesex,1993
66,Seventh Middlesex,1993
67,Eighth Middlesex,1993
68,Ninth Middlesex,1993
69,Tenth Middlesex,1993
70,Eleventh Middlesex,1993
71,Twelfth Middlesex,1993
72,Thirteenth Middlesex,1993
73,Fourteenth Middlesex,1993
74,Fifteenth Middlesex,1993
162,Sixteenth Middlesex,1993
75,Seventeenth Middlesex,1993
76,Eighteenth Middlesex,1993
77,Nineteenth Middlesex,1993
78,Twentieth Middlesex,1993
79,Twenty-First Middlesex,1993
163,Twenty-Second Middlesex,1993
80,Twenty-Third Middlesex,1993
81,Twenty-Fourth Middlesex,1993
82,Twenty-Fifth Middlesex,1993
83,Twenty-Sixth Middlesex,1993
84,Twenty-Seventh Middlesex,1993
85,Twenty-Ninth Middlesex,1993
86,Thirtieth Middlesex,1993
87,Twenty-Eighth Middlesex,1993
88,Thirty-Second Middlesex,1993
89,Thirty-Third Middlesex,1993
90,Thirty-Fourth Middlesex,1993
91,Thirty-Fifth Middlesex,1993
92,Thirty-Sixth Middlesex,1993
93,Thirty-Seventh Middlesex,1993
94,Thirty-Eighth Middlesex,1993
95,Thirty-Ninth Middlesex,1993
