DISTNUM,DISTNAME,FIRST,LAST,PARTY,NAME,Year
1,"Berkshire, Hampden, Hampshire and Franklin",Andrea F.,"Nuciforo, Jr.",(D),"Andrea F. Nuciforo, Jr. (D)",1993
2,First Bristol,Joan M.,Menard,(D),Joan M. Menard (D),1993
3,Second Bristol,Mark C.,Montigny,(D),Mark C. Montigny (D),1993
4,First Plymouth and Bristol,Marc R.,Pacheco,(D),Marc R. Pacheco (D),1993
5,Cape and Islands,Robert,O'Leary,(D),Robert O'Leary (D),1993
6,First Essex,Edward J.,"Clancy, Jr.",(D),"Edward J. Clancy, Jr. (D)",1993
7,Second Essex,Frederick E.,Berry,(D),Frederick E. Berry (D),1993
8,Third Essex,James P.,Jajuga,(D),James P. Jajuga (D),1993
9,First Essex and Middlesex,Bruce E.,Tarr,(R),Bruce E. Tarr (R),1993
10,Second Essex and Middlesex,Susan C.,Tucker,(D),Susan C. Tucker (D),1993
11,Hampshire and Franklin,Stanley C.,Rosenberg,(D),Stanley C. Rosenberg (D),1993
12,Hampden,Linda J.,Melconian,(D),Linda J. Melconian (D),1993
13,First Hampden and Hampshire,Brian P.,Lees,(R),Brian P. Lees (R),1993
14,Second Hampden and Hampshire,Michael R.,Knapik,(D),Michael R. Knapik (D),1993
15,First Middlesex,Steven C.,Panagiotakos,(D),Steven C. Panagiotakos (D),1993
16,Second Middlesex,Charles E.,Shannon,(D),Charles E. Shannon (D),1993
17,Third Middlesex,Richard R.,Tisei,(R),Richard R. Tisei (R),1993
18,Fourth Middlesex,Robert A.,Havern III,(D),Robert A. Havern III (D),1993
19,Fifth Middlesex,Susan,Fargo,(D),Susan Fargo (D),1993
20,First Middlesex and Norfolk,Cynthia Stone,Creem,(D),Cynthia Stone Creem (D),1993
21,"Middlesex, Norfolk & Worcester",David P.,Magnani,(D),David P. Magnani (D),1993
22,Middlesex and Suffolk,Steven,Tolman,(D),Steven Tolman (D),1993
23,Middlesex and Worcester,Pamela P.,Resor,(D),Pamela P. Resor (D),1993
24,Norfolk and Plymouth,Michael W.,Morrissey,(D),Michael W. Morrissey (D),1993
25,"Norfolk, Bristol and Plymouth",Jo Ann,Sprague,(R),Jo Ann Sprague (R),1993
26,"Norfolk, Bristol and Middlesex",Cheryl A.,Jacques,(D),Cheryl A. Jacques (D),1993
